Close,High,Low,Open,Volume,target,time_idx
NFLX,NFLX,NFLX,NFLX,NFLX,,
49.84857177734375,50.33142852783203,48.73143005371094,49.15142822265625,13475000,0,0
47.31142807006836,49.25857162475586,47.14714431762695,49.25857162475586,18165000,0,1
46.50143051147461,47.63999938964844,45.66143035888672,47.34714126586914,16037700,1,2
46.74285888671875,47.42142868041992,46.271427154541016,47.34714126586914,9849700,1,3
47.779998779296875,47.83571243286133,46.478572845458984,47.119998931884766,9601900,0,4
47.04142761230469,48.02000045776367,46.8985710144043,47.63142776489258,9578100,0,5
45.547142028808594,47.198570251464844,45.264286041259766,47.09000015258789,12944400,1,6
46.255714416503906,47.0485725402832,45.900001525878906,46.021427154541016,18721500,1,7
46.31999969482422,47.369998931884766,45.68000030517578,47.07143020629883,19884900,0,8
46.25143051147461,46.78571319580078,45.84428787231445,46.547142028808594,11669000,1,9
48.191429138183594,48.25,46.38142776489258,46.85714340209961,19696600,1,10
49.82857131958008,50.0,47.71428680419922,48.57143020629883,40551000,1,11
58.468570709228516,59.2400016784668,57.40999984741211,59.23428726196289,66902500,1,12
61.20571517944336,61.37428665161133,57.82857131958008,58.57143020629883,33319300,1,13
62.494285583496094,62.74285888671875,60.88142776489258,60.98857116699219,26784100,1,14
63.79428482055664,63.8985710144043,61.9571418762207,62.57143020629883,21268800,1,15
64.88143157958984,65.33999633789062,63.04999923706055,63.08714294433594,24612700,0,16
63.20857238769531,64.82142639160156,63.08142852783203,64.7414321899414,24532900,1,17
63.400001525878906,63.92714309692383,62.5,63.20428466796875,15127700,0,18
63.11428451538086,63.98428726196289,62.65571212768555,63.13285827636719,13215300,0,19
63.0099983215332,63.42856979370117,61.95571517944336,62.842857360839844,12990600,1,20
65.27428436279297,65.4671401977539,62.72999954223633,63.31999969482422,16440200,0,21
64.10143280029297,65.17428588867188,63.88999938964844,65.04142761230469,12450900,1,22
64.12999725341797,65.1385726928711,63.665714263916016,64.54142761230469,14248500,0,23
63.47999954223633,64.42857360839844,63.17571258544922,64.25,8898400,0,24
63.29571533203125,63.78571319580078,62.637142181396484,63.198570251464844,8173200,1,25
64.8499984741211,65.15714263916016,63.1014289855957,63.459999084472656,15418900,1,26
64.98428344726562,66.14142608642578,64.55714416503906,64.83000183105469,13953100,1,27
